payment_id,merchant_id,customer_id,amount,currency,payment_method,failure_reason,payment_status,attempt_number,previous_success_rate,time_since_failure_minutes,is_subscription,recovery_eligible,recovery_action,recovery_success,recovered_amount
pay_0001,merch_105,cust_1028,199,INR,netbanking,insufficient_funds,FAILED,1,0.22,27,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0002,merch_100,cust_1007,499,INR,card,insufficient_funds,FAILED,2,0.61,144,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0003,merch_105,cust_1139,9999,INR,card,bank_declined,FAILED,2,0.34,2,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0004,merch_102,cust_1071,999,INR,card,authentication_failure,FAILED,1,0.18,25,1,1,SEND_REMINDER,0,0.0
pay_0005,merch_104,cust_1067,199,INR,wallet,timeout,FAILED,1,0.93,97,0,1,RETRY_PAYMENT,1,199.0
pay_0006,merch_105,cust_1158,4999,INR,card,limit_exceeded,FAILED,1,0.14,59,1,1,SEND_REMINDER,0,0.0
pay_0007,merch_101,cust_1025,9999,INR,netbanking,bank_declined,FAILED,3,0.81,42,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0008,merch_105,cust_1068,499,INR,card,timeout,FAILED,3,0.31,119,1,1,RETRY_PAYMENT,1,499.0
pay_0009,merch_105,cust_1176,25000,INR,card,limit_exceeded,FAILED,1,0.82,15,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0010,merch_102,cust_1102,2999,INR,upi,insufficient_funds,FAILED,2,0.84,81,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0011,merch_103,cust_1164,15000,INR,card,authentication_failure,FAILED,1,0.31,144,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0012,merch_103,cust_1149,9999,INR,netbanking,insufficient_funds,FAILED,1,0.53,24,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0013,merch_101,cust_1160,999,INR,wallet,timeout,FAILED,1,0.43,153,1,1,RETRY_PAYMENT,1,999.0
pay_0014,merch_104,cust_1002,499,INR,netbanking,limit_exceeded,FAILED,1,0.19,112,0,1,SEND_REMINDER,0,0.0
pay_0015,merch_105,cust_1184,2999,INR,card,timeout,FAILED,1,0.84,77,0,1,RETRY_PAYMENT,1,2999.0
pay_0016,merch_101,cust_1138,25000,INR,upi,timeout,FAILED,1,0.52,29,1,1,RETRY_PAYMENT,0,0.0
pay_0017,merch_102,cust_1061,199,INR,card,timeout,FAILED,1,0.17,125,0,1,RETRY_PAYMENT,0,0.0
pay_0018,merch_104,cust_1196,999,INR,card,limit_exceeded,FAILED,2,0.9,43,1,1,SEND_REMINDER,0,0.0
pay_0019,merch_104,cust_1108,1499,INR,card,limit_exceeded,FAILED,1,0.44,172,1,1,SEND_REMINDER,0,0.0
pay_0020,merch_104,cust_1115,499,INR,card,insufficient_funds,FAILED,1,0.39,151,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0021,merch_100,cust_1018,199,INR,card,temporary_network_error,FAILED,1,0.83,19,0,1,RETRY_PAYMENT,1,199.0
pay_0022,merch_103,cust_1054,25000,INR,card,limit_exceeded,FAILED,2,0.59,63,1,1,SEND_PAYMENT_LINK,0,0.0
pay_0023,merch_101,cust_1024,499,INR,wallet,authentication_failure,FAILED,2,0.45,14,0,1,SEND_REMINDER,1,499.0
pay_0024,merch_105,cust_1086,499,INR,card,insufficient_funds,FAILED,1,0.56,36,1,1,SEND_PAYMENT_LINK,1,499.0
pay_0025,merch_103,cust_1063,499,INR,wallet,timeout,FAILED,1,0.14,139,0,1,RETRY_PAYMENT,0,0.0
pay_0026,merch_101,cust_1042,9999,INR,wallet,bank_declined,FAILED,1,0.83,16,0,1,SEND_PAYMENT_LINK,1,9999.0
pay_0027,merch_103,cust_1067,15000,INR,netbanking,bank_declined,FAILED,3,0.91,143,1,1,SEND_PAYMENT_LINK,1,15000.0
pay_0028,merch_102,cust_1055,199,INR,upi,limit_exceeded,FAILED,1,0.15,150,1,1,SEND_REMINDER,0,0.0
pay_0029,merch_104,cust_1040,199,INR,upi,insufficient_funds,FAILED,1,0.61,173,0,1,SEND_PAYMENT_LINK,0,0.0
pay_0030,merch_104,cust_1063,199,INR,upi,bank_declined,FAILED,3,0.6,134,1,0,STOP,0,0.0
pay_0031,merch_102,cust_1052,4999,INR,card,authentication_failure,FAILED,2,0.21,166,1,1,SEND_REMINDER,1,4999.0
pay_0032,merch_100,cust_1002,15000,INR,upi,temporary_network_error,FAILED,2,0.28,68,0,1,RETRY_PAYMENT,0,0.0
pay_0033,merch_100,cust_1062,4999,INR,netbanking,insufficient_funds,FAILED,2,0.81,78,0,1,SEND_PAYMENT_LINK,0,0.0
